

gen best mean std
0 87.514 3.209764 22.257118
1 90.326285 15.108044 34.087099
2 87.514 17.998534 34.504169
3 89.426611 34.045238 37.694973
4 90.854823 55.784855 37.154847
5 88.668859 75.788713 24.48763
6 88.668859 86.788943 0.487752
7 88.668859 86.720323 0.513327
8 88.668859 85.940677 6.005061
9 88.668859 86.725135 0.457672
10 88.668859 86.736309 0.442509
11 89.426611 86.752558 0.466397
12 88.668859 86.756251 0.432099
13 89.426611 86.740982 0.471975
14 88.668859 86.769885 0.414938
15 89.426611 86.790307 0.490584
16 88.668859 86.791852 0.425007
17 88.668859 86.772423 0.431356
18 88.819688 86.82871 0.472499
19 88.336175 86.854787 0.453809
