

gen best mean std
0 91.933573 11.98952 30.927609
1 92.347727 28.9367 38.277717
2 92.347727 53.983606 33.508518
3 92.368788 77.302536 19.516742
4 92.368788 87.034183 10.647741
5 92.172379 91.329795 3.08753
6 92.766278 91.570728 2.56669
7 92.766278 91.654893 1.662137
8 92.298742 91.853281 0.118048
9 91.933573 91.793094 0.141597
10 91.933573 91.791141 0.150924
11 91.933573 91.796671 0.137227
12 91.933573 91.787799 0.141591
13 91.933573 91.81184 0.124064
14 91.933573 91.811719 0.127644
15 92.298742 91.795088 0.145254
16 91.933573 91.638018 1.653171
17 91.933573 91.809189 0.134082
18 91.933573 91.77104 0.152358
19 92.298742 91.812967 0.142421
