

gen best mean std
0 91.858736 13.830422 32.105111
1 93.17505 48.151009 32.481726
2 92.985064 72.429396 19.875586
3 93.140414 80.292823 13.761111
4 93.140414 82.928018 11.215786
5 93.17505 83.797478 11.86538
6 93.327729 85.80931 11.564323
7 93.140414 89.594831 6.524956
8 93.17505 91.800096 0.488192
9 93.17505 90.982039 4.937268
10 93.140414 91.639767 1.766279
11 93.012614 91.341591 3.606672
12 93.012614 91.723744 1.67424
13 92.932142 91.837005 0.26084
14 92.658736 91.529397 2.339874
15 93.012614 91.257477 6.139466
16 92.932142 91.561873 1.916096
17 92.87699 91.861721 0.261392
18 92.932142 91.882979 0.248497
19 92.650924 91.777313 0.684814
