

gen best mean std
0 22.002788 -1.376632 7.594879
1 57.16227 7.216316 16.767681
2 57.296218 18.093244 16.007918
3 66.752976 25.755243 17.787715
4 66.752976 23.024522 15.084942
5 66.752976 26.572783 16.800727
6 66.222348 27.801676 16.955044
7 66.21004 26.844479 16.555672
8 66.752976 26.297529 15.413881
9 66.16227 28.127565 16.033639
10 66.21004 28.651199 16.798843
11 57.732142 26.070812 15.050999
12 66.752976 28.082059 16.080255
13 66.752976 25.939979 15.090212
14 66.21004 27.910331 16.773341
15 66.179917 27.729836 14.970181
16 66.752976 26.967949 16.26787
17 66.752976 28.478131 15.963532
18 66.21004 30.072367 18.432424
19 75.752976 26.987441 16.783256
