

gen best mean std
0 88.219688 2.539915 23.441195
1 91.15505 11.62755 32.561533
2 88.219688 21.56878 37.557475
3 92.246285 34.751011 39.319671
4 88.803229 55.175891 37.961575
5 92.246285 75.731756 24.428901
6 89.059688 85.990077 7.409574
7 91.039361 86.011643 6.667828
8 89.714198 86.701182 0.59316
9 89.714198 86.481829 2.16215
10 89.906285 86.807568 0.664886
11 90.686602 86.793251 1.405209
12 90.686602 86.87687 0.847414
13 90.686602 86.894312 0.761064
14 89.714198 86.837328 0.657589
15 90.686602 86.870051 0.710361
16 90.686602 86.79305 1.921298
17 91.766611 87.107122 1.091666
18 91.766611 86.932493 3.360433
19 90.686602 86.743699 4.112272
