

gen best mean std
0 66.16227 -1.114856 11.439073
1 75.601837 2.648836 14.540721
2 66.16227 7.659213 16.193692
3 57.266659 15.259189 16.399352
4 57.266659 16.448184 14.280415
5 66.16227 21.29441 14.306552
6 75.601837 22.362012 17.695451
7 75.601837 21.828035 13.05676
8 66.225448 24.932519 14.178217
9 75.601837 25.828664 16.439918
10 66.16227 23.610695 14.261232
11 75.601837 27.866627 17.86056
12 75.601837 25.928329 16.667004
13 75.601837 27.348557 16.799333
14 75.601837 28.524466 18.722535
15 75.601837 26.857419 16.63126
16 75.601837 25.266217 14.920193
17 75.601837 33.271068 19.50162
18 75.601837 32.07209 19.231288
19 75.601837 32.017886 20.02785
