

gen best mean std
0 57.16227 -0.551769 9.869072
1 39.182889 0.757937 9.69504
2 57.16227 3.176502 12.670931
3 57.279688 6.626223 13.186959
4 57.279688 8.751531 12.76924
5 48.16227 10.156509 9.477388
6 57.313025 17.267059 15.198916
7 66.601837 18.250216 12.505155
8 66.16227 19.925155 13.581309
9 57.16227 19.880376 12.163299
10 66.16227 24.815919 17.165287
11 57.313025 24.801624 14.711708
12 57.266659 20.394261 12.350747
13 57.313025 22.329296 13.363282
14 66.29289 23.483759 15.458718
15 66.29289 23.17579 14.751386
16 66.29289 21.468639 13.830935
17 66.29289 21.872882 14.457523
18 66.29289 22.397408 14.695527
19 66.29289 24.101481 17.393506
