

gen best mean std
0 91.843172 12.002919 30.711798
1 92.518596 54.677978 32.996393
2 93.012614 74.441563 19.962758
3 93.012614 82.66299 11.873265
4 93.012614 82.340996 12.701225
5 92.932142 88.469696 7.247323
6 93.012614 88.352017 8.513334
7 93.012614 90.768889 5.363149
8 92.77505 91.099491 3.805438
9 92.932142 91.030274 4.786254
10 92.906939 91.674181 1.663767
11 92.932142 91.865692 0.220305
12 92.932142 91.567348 2.610478
13 92.932142 90.645524 7.578223
14 92.979465 91.647358 1.673705
15 92.979465 91.453876 2.44201
16 93.012614 91.863928 0.302965
17 92.979465 91.733141 1.684319
18 92.979465 91.844478 0.284943
19 92.932142 91.443594 3.043448
