

gen best mean std
0 22.009567 -1.561943 7.354851
1 57.16227 3.823624 11.114269
2 57.16227 11.008057 10.863881
3 57.225448 16.620848 10.771478
4 57.601837 20.313948 14.020552
5 66.091917 21.8752 14.916939
6 94.023266 24.590246 17.599497
7 66.16227 24.283183 15.405893
8 94.023266 26.674334 17.029714
9 57.732142 25.052267 13.221429
10 66.16227 29.445368 17.505577
11 94.023266 28.031489 17.699105
12 66.16227 28.468905 16.323726
13 75.601837 26.007504 15.932341
14 94.023266 27.58587 16.700993
15 75.601837 26.816596 16.716426
16 75.601837 30.417547 16.888309
17 94.023266 29.466275 18.020161
18 66.16227 29.459604 15.791617
19 66.16227 29.794073 17.286163
