

gen best mean std
0 87.514 2.542358 21.951605
1 90.074823 10.289834 28.791077
2 90.074823 19.805134 35.357256
3 87.319358 31.470992 36.497153
4 90.166571 46.154654 37.005604
5 91.366372 67.392635 28.750836
6 91.706285 82.657212 12.207302
7 90.074823 86.684812 0.583939
8 91.366372 85.927513 6.890579
9 90.166571 86.374363 2.958743
10 90.166571 86.853839 0.571993
11 87.777882 86.741302 0.400461
12 89.583229 86.751954 0.49855
13 89.299688 86.809687 0.482353
14 89.583229 86.80959 0.484677
15 90.166571 86.84575 0.682619
16 90.166571 86.827669 0.579596
17 89.986571 86.91189 0.603596
18 90.166571 86.848618 0.615904
19 90.146611 86.847776 0.641377
