

gen best mean std
0 92.196054 8.127884 28.506103
1 92.575982 48.377517 32.937475
2 92.643172 73.851673 19.431631
3 93.072124 76.953822 15.338659
4 92.568788 81.407735 12.624369
5 92.766278 83.793002 10.372828
6 92.766278 85.807206 9.772569
7 93.727 89.814637 5.128778
8 92.643172 88.208914 8.011903
9 94.369562 91.646451 1.718403
10 94.369562 91.232781 4.669937
11 94.369562 91.435047 3.05036
12 93.542505 91.744615 0.885199
13 93.332142 91.804216 0.508868
14 93.332142 91.684833 1.675134
15 93.542505 91.601812 2.653381
16 93.332142 91.301786 4.644439
17 93.140414 91.562358 2.671639
18 93.542505 91.772579 1.703682
19 93.17505 91.762744 1.69016
