

gen best mean std
0 91.737405 5.864593 25.555527
1 92.576119 39.373556 34.264492
2 92.694055 63.871787 23.117631
3 92.694055 81.081512 11.882597
4 92.576119 80.238149 11.947286
5 92.694055 81.859379 12.170607
6 92.694055 82.949814 10.259875
7 92.576119 84.894423 9.524207
8 92.576119 84.960392 9.273643
9 92.576119 84.45061 9.80174
10 92.966278 84.567207 11.075995
11 92.966278 85.96321 10.055569
12 92.966278 87.065598 8.723657
13 92.776119 88.348174 7.90198
14 92.966278 89.118411 7.169869
15 92.569562 89.699624 6.519347
16 92.932142 91.486614 2.375453
17 93.140414 91.193274 3.472916
18 92.932142 90.964944 5.170347
19 92.932142 91.127488 4.910677
