

gen best mean std
0 88.443394 1.679087 20.835191
1 89.58869 43.010428 40.475201
2 89.58869 70.310291 29.214059
3 89.009685 84.622428 12.263735
4 89.009685 86.035183 6.56188
5 89.813548 86.867182 0.707395
6 89.202264 85.985777 6.579551
7 89.022264 86.785336 0.637617
8 90.413548 86.847293 0.710387
9 90.413548 86.82249 0.701301
10 90.413548 86.629546 1.836051
11 89.022264 86.197939 5.212622
12 90.413548 86.953527 0.688229
13 92.002348 86.933105 0.891465
14 92.002348 86.910519 0.887205
15 89.022264 86.744162 1.382028
16 92.002348 87.034761 0.851987
17 92.002348 86.708356 2.005248
18 92.002348 86.362348 6.618376
19 92.002348 87.050203 0.933602
