

gen best mean std
0 87.139358 -0.969235 14.48623
1 86.335744 1.836456 17.821598
2 87.37004 6.517299 23.579027
3 90.098539 12.712352 26.598335
4 88.831965 23.747476 32.06749
5 90.098539 37.582059 36.583267
6 90.806602 54.441021 36.425378
7 90.806602 76.163826 20.966308
8 89.573548 86.836316 0.832199
9 90.806602 86.707481 2.296561
10 89.573548 86.19004 5.708925
11 89.573548 86.878052 0.621876
12 89.813548 86.130195 6.568194
13 89.813548 86.793278 0.515195
14 90.806602 86.895847 0.679601
15 90.326611 86.876474 0.715084
16 90.326611 86.959011 0.742953
17 90.806602 86.822946 0.737296
18 90.806602 86.989148 0.779454
19 90.806602 86.977101 0.713467
