

gen best mean std
0 66.225448 0.068459 13.063744
1 66.225448 12.209604 16.594405
2 66.2699 20.607461 16.194133
3 66.225448 24.752687 17.084709
4 66.21004 26.136982 15.343878
5 66.225448 28.558989 16.3839
6 75.601837 29.64314 17.553632
7 66.711733 29.820095 18.468374
8 75.601837 29.424914 17.144874
9 66.21004 27.848635 16.768355
10 66.326677 30.170898 17.729717
11 66.711733 30.273015 16.466489
12 66.711733 29.773711 16.288751
13 66.16227 31.551901 16.695919
14 75.601837 30.521599 17.440147
15 75.752976 32.727641 19.816187
16 75.752976 30.892946 17.172307
17 66.711733 34.047142 17.58483
18 66.326677 30.288269 15.480516
19 75.752976 31.646819 17.598514
