

gen best mean std
0 57.266659 -2.847363 8.050018
1 57.16227 2.515684 10.397139
2 57.31642 13.673396 14.126199
3 57.31642 15.991395 13.024422
4 75.601837 22.288972 14.650429
5 75.601837 24.176431 15.193148
6 66.225448 26.775717 14.529517
7 66.296218 23.957558 14.769286
8 57.241098 21.586442 13.602976
9 75.16227 26.970537 17.289033
10 66.225448 25.916831 15.131337
11 66.296218 27.498221 16.006314
12 75.601837 28.802446 16.752565
13 66.225448 29.784973 16.424355
14 75.16227 28.135972 16.61553
15 57.732142 26.642171 14.944901
16 66.601837 28.574431 16.355841
17 75.752976 27.097696 17.50468
18 75.16227 29.44519 17.514206
19 75.752976 28.272489 17.395428
