

gen best mean std
0 93.542505 9.641432 29.482159
1 92.443172 57.99392 30.116654
2 92.533573 79.384269 13.533083
3 92.643172 82.708925 11.696144
4 93.332142 79.113206 15.517415
5 93.542505 83.582781 12.963043
6 92.867281 86.468932 10.842852
7 92.518596 88.379524 8.911336
8 92.643172 90.590985 7.533299
9 92.652892 91.808459 0.226662
10 92.867281 91.596186 1.828778
11 93.332142 91.847773 0.25026
12 93.542505 91.470566 3.052236
13 93.542505 91.863901 0.322671
14 93.542505 91.276897 3.444476
15 93.332142 91.292856 4.56019
16 93.542505 91.461311 3.063123
17 93.37505 91.015881 4.953022
18 93.012614 91.00065 5.596454
19 93.140414 91.281033 4.66145
