

gen best mean std
0 92.568788 10.949176 29.776889
1 91.968788 53.918682 28.579743
2 92.512404 75.634015 15.997335
3 91.972379 80.871396 11.913365
4 92.576119 82.333173 12.136867
5 92.576119 82.106042 12.082767
6 92.137405 83.814079 11.058283
7 92.518596 84.986937 9.99102
8 92.576119 85.190665 10.559625
9 92.512404 87.586095 9.188762
10 92.576119 90.095846 6.359264
11 92.239318 91.225048 2.901704
12 93.136168 91.288953 3.806471
13 92.766278 91.378543 3.024795
14 93.136168 91.449281 2.394459
15 93.136168 91.844126 0.228058
16 92.77505 91.206469 6.131371
17 92.579599 91.388233 4.219746
18 92.87699 91.424756 3.03017
19 92.766278 91.575634 2.558086
