

gen best mean std
0 57.732142 -1.386173 10.213032
1 57.279688 1.317775 10.735855
2 39.302907 4.802155 10.734085
3 57.225448 10.921421 13.246987
4 57.732142 15.393414 11.406457
5 66.16227 14.496381 12.139406
6 57.225448 16.842629 11.701972
7 39.956575 14.711854 9.581853
8 57.225448 17.063287 11.543769
9 57.279688 19.291194 11.393315
10 57.732142 18.841207 11.939475
11 57.601837 18.093829 10.215684
12 66.094638 19.623441 11.54631
13 66.286267 22.356269 14.306554
14 66.094638 21.804771 13.403179
15 57.732142 23.699707 13.922409
16 57.732142 22.488985 12.762949
17 66.286267 25.348337 15.693971
18 94.023266 22.46771 14.728414
19 66.16227 21.669977 13.697009
