

gen best mean std
0 86.335744 2.221245 22.088015
1 90.986602 38.113452 39.628426
2 91.146677 67.780548 30.96324
3 90.986602 84.540514 11.401282
4 91.192977 86.358997 4.83799
5 92.246285 85.586827 8.816191
6 90.986602 86.180018 5.683141
7 90.986602 86.767485 0.833507
8 92.246285 86.287046 5.713663
9 90.986602 86.804228 0.668066
10 88.819688 84.798678 10.112375
11 90.806602 86.806957 0.639626
12 89.966611 86.795986 0.587028
13 88.819688 86.814442 0.549277
14 92.164928 86.61548 3.073184
15 92.164928 86.872779 0.859718
16 92.202264 86.141163 7.474622
17 92.164928 86.188796 7.454492
18 92.470675 86.35857 6.620567
19 92.470675 87.12028 0.986993
