

gen best mean std
0 90.646214 5.303551 27.790235
1 90.646214 17.179006 36.174001
2 90.639829 24.288961 38.365537
3 90.646214 42.149525 39.762725
4 89.246611 56.746661 35.840914
5 90.646214 78.655284 20.927641
6 90.379361 86.025387 7.450618
7 89.168738 86.094795 5.662948
8 90.646214 86.771127 0.697993
9 89.846611 86.210489 5.676092
10 90.379361 86.8102 0.626658
11 89.606611 86.882342 0.737264
12 89.606611 86.825925 0.634285
13 89.606611 86.993821 0.64009
14 89.606611 87.109203 0.81798
15 89.606611 87.027969 1.537369
16 89.606611 87.021933 3.47027
17 89.606611 87.656376 1.147032
18 89.959361 87.877704 1.246657
19 89.906611 88.425851 1.057804
