

gen best mean std
0 57.16227 -0.939822 11.659107
1 57.732142 3.838335 14.43129
2 57.732142 9.057768 14.87036
3 57.16227 18.275384 15.112018
4 57.732142 25.424066 15.86617
5 66.225448 28.248155 16.304801
6 66.225448 30.241461 17.25127
7 57.732142 26.949964 16.145622
8 66.286267 26.695116 16.287874
9 66.16227 24.900598 14.516521
10 66.286267 31.115241 19.951252
11 66.225448 27.109636 15.89287
12 75.21004 27.557251 16.202634
13 66.286267 26.331834 16.839555
14 75.21004 30.608608 18.30907
15 75.21004 27.494272 17.183083
16 75.266659 29.084575 17.584249
17 66.225448 27.371277 16.499798
18 66.326677 26.145624 15.673492
19 66.601837 26.024776 13.697148
