

gen best mean std
0 30.98272 -1.070771 9.110069
1 57.16227 0.189296 10.665868
2 66.147798 18.349013 18.699174
3 66.225448 25.416726 17.504109
4 57.732142 25.666913 17.153417
5 66.732142 27.214575 16.274604
6 66.253797 30.332277 17.425019
7 66.253797 28.769415 16.808699
8 89.694638 29.226107 17.967084
9 75.601837 29.261488 16.288477
10 66.253797 29.380166 17.175939
11 75.044163 29.129018 17.200196
12 66.094638 29.950987 16.386329
13 75.701683 29.55116 17.780202
14 75.701683 29.756059 17.484463
15 66.16227 30.619165 16.50688
16 75.701683 32.689508 19.92227
17 75.309641 31.166592 18.429124
18 94.023266 30.989812 19.166122
19 75.701683 34.635924 18.627774
