

gen best mean std
0 22.002788 -2.388657 6.779255
1 57.16227 1.607016 10.625548
2 66.16227 17.15262 16.210414
3 94.023266 23.931633 17.144306
4 66.16227 27.078835 17.684523
5 66.16227 26.900457 15.990664
6 66.16227 27.802308 16.57774
7 66.094638 28.715034 17.85274
8 66.174 28.430486 16.784497
9 66.174 27.423225 16.273458
10 75.165189 26.394968 17.016464
11 75.306268 27.572421 15.964714
12 75.165189 26.880324 14.78805
13 75.747727 29.982208 17.048191
14 94.023266 30.279892 19.283086
15 94.023266 28.21658 17.314664
16 66.752976 29.750713 16.901848
17 75.306268 30.85498 16.97066
18 75.747727 29.996799 17.347109
19 94.023266 31.196325 17.567461
