

gen best mean std
0 92.133573 7.073076 27.696667
1 92.243172 42.419404 33.957493
2 92.643172 65.206078 21.793929
3 92.643172 78.223955 17.428039
4 92.77505 81.174803 12.921885
5 92.766278 80.14783 14.207574
6 92.77505 82.378255 12.412583
7 92.533573 83.169455 11.414926
8 92.77505 84.528596 11.044271
9 92.658736 85.288031 11.650671
10 92.766278 88.177779 7.856758
11 93.332142 89.751061 6.281882
12 92.766278 91.127169 3.26431
13 93.467281 90.236925 8.997837
14 93.467281 91.565121 2.567972
15 92.766278 91.28476 4.525728
16 93.340414 91.873822 0.336174
17 93.340414 91.913766 0.341673
18 92.658736 91.011519 7.213399
19 93.467281 91.739943 1.686046
