

gen best mean std
0 22.002788 -3.079525 5.705639
1 66.165189 -0.476667 11.360526
2 57.191858 1.44652 11.722435
3 57.601837 2.42245 10.762236
4 57.191858 4.855144 10.100085
5 57.213103 9.157191 12.435148
6 66.165189 15.295363 13.395034
7 57.2699 15.185102 10.325235
8 57.732142 18.155204 13.764092
9 57.191858 17.605575 13.298542
10 66.244258 22.245458 15.81933
11 66.165189 23.376924 14.893235
12 66.244258 22.518475 15.714011
13 66.244258 21.532248 14.616926
14 66.111122 22.192378 13.639698
15 66.165189 23.080815 14.914169
16 66.956575 24.211123 15.724209
17 66.165189 22.206706 14.629733
18 66.309641 24.096862 14.806668
19 75.16227 25.794107 16.559983
