

gen best mean std
0 75.062464 -0.457236 12.7668
1 75.062464 2.981152 14.634854
2 75.062464 5.597607 13.223079
3 66.16227 9.53683 17.177435
4 66.601837 14.594559 16.146261
5 75.062464 20.326677 18.248891
6 66.601837 22.859663 16.702132
7 66.601837 21.615528 15.161314
8 66.601837 24.858889 15.933423
9 66.601837 25.358725 15.708335
10 66.601837 26.598813 17.222729
11 66.16227 26.204001 16.29293
12 66.601837 26.192301 17.497325
13 66.282972 28.575084 17.890001
14 66.282972 28.11856 17.231314
15 66.601837 28.925791 16.501782
16 66.601837 28.948978 17.441897
17 66.194865 26.289799 15.674039
18 66.601837 29.20084 16.958054
19 66.601837 29.242463 17.673945
