

gen best mean std
0 89.796054 6.727082 25.393681
1 91.579644 43.946984 34.304
2 92.001503 73.457071 19.576332
3 92.533573 81.850781 12.235872
4 92.643172 82.98529 10.945389
5 92.533573 84.586518 10.636976
6 93.327729 85.67185 10.487205
7 92.744679 85.444082 10.42354
8 93.327729 86.151758 10.561848
9 92.744679 90.147398 5.615509
10 93.37505 91.048893 4.294927
11 93.17505 91.346188 2.847226
12 93.37505 91.408415 2.538048
13 93.37505 90.997875 6.252092
14 93.37505 91.874739 0.308328
15 93.37505 91.873616 0.303166
16 93.37505 91.701547 1.688805
17 93.37505 91.721303 1.706651
18 93.332142 91.758164 1.697019
19 93.542505 91.486802 3.049111
