

gen best mean std
0 91.968788 10.053893 30.294296
1 91.933573 21.413348 37.686248
2 92.136168 38.393598 41.203755
3 91.933573 59.002437 32.763885
4 92.140414 81.896196 15.304868
5 92.766278 87.342424 9.928651
6 92.77505 89.85091 6.465678
7 92.766278 91.795862 0.197508
8 92.133573 91.806325 0.138459
9 91.968788 91.819836 0.132962
10 91.933573 91.584731 1.780291
11 92.766278 91.792614 0.176321
12 91.933573 91.807234 0.140115
13 92.77505 91.803 0.169485
14 92.77505 91.807024 0.171758
15 91.933573 91.798176 0.145205
16 91.933573 91.792941 0.144946
17 92.77505 91.842135 0.148712
18 92.766278 91.778624 0.422809
19 91.933573 91.807303 0.13297
