

gen best mean std
0 92.439318 6.373375 24.266337
1 92.966278 15.673913 30.322195
2 92.932142 34.511532 36.690587
3 92.932142 50.966356 32.369283
4 92.87699 70.712996 19.64319
5 92.932142 78.90899 14.586106
6 92.439318 81.111129 11.995834
7 92.87699 83.362835 11.071775
8 92.87699 83.989965 10.786317
9 92.966278 87.552077 8.719722
10 92.87699 89.296079 6.907736
11 92.966278 91.203749 4.512089
12 92.87699 91.747302 0.675448
13 92.87699 91.827344 0.168356
14 92.932142 91.809365 0.175768
15 92.87699 91.801864 0.184775
16 92.932142 91.832357 0.199548
17 92.966278 91.657681 1.742083
18 92.966278 91.02693 5.821385
19 92.439318 91.811888 0.155686
