

gen best mean std
0 91.933573 11.32898 29.734583
1 91.968788 21.50479 34.355191
2 92.133573 38.393429 36.829104
3 91.933573 50.395014 34.248855
4 91.968788 65.430378 26.415404
5 92.133573 79.857655 16.02446
6 92.133573 83.080007 12.693182
7 92.039318 86.832993 10.735403
8 92.133573 89.189632 9.248924
9 92.575982 91.736887 0.775445
10 91.933573 91.802255 0.137688
11 91.933573 91.649804 1.654578
12 91.933573 91.797731 0.137887
13 91.933573 91.800153 0.132073
14 91.933573 91.803029 0.141021
15 91.933573 91.806585 0.143601
16 91.933573 91.622838 1.652555
17 91.933573 91.806637 0.136138
18 91.933573 91.807978 0.137062
19 91.933573 91.79956 0.131587
