

gen best mean std
0 92.727729 10.331692 29.951436
1 92.568788 25.117269 34.751211
2 92.094668 49.300631 33.263583
3 92.390514 66.406001 25.566294
4 93.542505 80.224735 13.929788
5 92.852892 83.292645 11.596665
6 93.542505 86.632755 11.148593
7 93.17505 89.788861 6.621648
8 93.17505 91.733855 0.845153
9 92.852892 91.780666 0.206959
10 93.17505 91.643692 1.660954
11 92.852892 91.117328 7.029709
12 93.140414 91.811328 0.213474
13 92.852892 91.822307 0.191921
14 92.961921 91.832705 0.169601
15 93.140414 91.41186 4.229773
16 93.17505 91.820553 0.198157
17 93.17505 91.805504 0.194464
18 92.852892 91.818698 0.172136
19 92.852892 91.807239 0.175737
