

gen best mean std
0 88.320907 4.654025 24.570689
1 88.819688 26.20838 35.838278
2 90.331679 69.307129 30.192536
3 89.883229 85.436641 9.304423
4 88.819688 85.938388 7.434516
5 88.819688 86.809512 0.566155
6 89.294823 86.879678 0.619009
7 88.819688 86.860784 0.64933
8 91.253548 86.333746 4.105842
9 91.253548 86.301041 6.609782
10 91.253548 85.309742 11.197806
11 90.266611 86.210923 6.544238
12 91.253548 86.974245 0.785667
13 91.279256 86.966081 0.844186
14 91.253548 86.877489 1.494738
15 91.253548 86.083099 6.866167
16 89.419361 87.000372 0.781946
17 91.253548 86.94921 1.507979
18 91.253548 87.027883 1.059719
19 91.253548 87.044212 0.961822
