

gen best mean std
0 57.225448 -2.291006 9.45095
1 39.752976 -1.970163 7.89563
2 57.225448 -0.915725 9.699536
3 57.296218 1.200135 11.445673
4 57.601837 3.125141 11.500857
5 57.16227 7.615167 12.831461
6 75.059829 13.335749 14.416209
7 57.601837 18.57892 14.595643
8 57.732142 20.936655 15.909275
9 66.225448 25.105034 15.474333
10 57.732142 22.284469 15.369042
11 75.051965 24.198486 16.218525
12 57.732142 24.564179 15.436403
13 57.732142 25.612464 16.503937
14 66.225448 27.547167 16.958121
15 57.732142 23.816976 15.096769
16 57.732142 25.583076 16.209724
17 75.051965 24.521901 16.372885
18 75.051965 28.669542 18.052525
19 57.732142 26.910795 16.877422
