

gen best mean std
0 57.16227 -2.552194 8.0171
1 57.16227 1.727538 12.086169
2 57.732142 5.435705 11.61419
3 57.194865 10.979703 13.521543
4 57.752976 15.271701 12.214379
5 57.16227 15.795657 9.202247
6 57.21004 17.914588 13.838869
7 57.216175 19.493379 13.914524
8 66.16227 21.009538 15.708095
9 57.752976 22.824556 14.416397
10 57.752976 22.694183 14.101143
11 57.752976 20.97836 14.313362
12 57.601837 21.970173 15.070047
13 57.752976 23.467421 13.900906
14 66.752976 23.196405 14.343371
15 57.752976 23.272325 13.651158
16 57.752976 24.321919 15.347212
17 66.752976 25.96306 16.278296
18 57.752976 26.754578 16.488322
19 57.752976 27.058257 17.111717
