

gen best mean std
0 87.139358 7.906879 29.318666
1 87.666986 41.670727 39.50392
2 89.294823 70.245152 28.68798
3 88.308535 85.587139 8.336122
4 88.579688 86.755613 0.579201
5 89.594823 86.138184 4.778777
6 91.122264 86.295689 4.791433
7 89.926571 86.305989 5.686698
8 90.193561 86.866242 0.614035
9 90.079361 86.538322 3.937239
10 90.193561 86.8354 0.781366
11 90.006939 86.771397 1.385006
12 92.092977 86.956468 0.889357
13 89.899361 86.222015 6.588627
14 90.832977 86.499257 5.746031
15 90.259361 86.983986 0.782742
16 90.832977 86.755128 3.139603
17 90.832977 86.606063 3.822434
18 92.092977 86.741298 4.909297
19 90.259361 87.200275 0.899416
