

gen best mean std
0 91.843172 13.365607 32.081633
1 91.933573 34.419039 36.944605
2 91.933573 56.960978 29.232372
3 92.294668 72.783897 17.315966
4 91.933573 78.012675 13.256294
5 92.294668 79.825663 13.131535
6 92.294668 82.780991 11.820717
7 92.043172 83.93747 11.576067
8 92.161645 86.81322 10.009122
9 92.643172 91.225555 2.480868
10 91.933573 91.812364 0.128895
11 91.933573 91.631651 1.653148
12 91.933573 91.823481 0.127029
13 91.933573 91.8232 0.126701
14 91.933573 91.645413 1.654252
15 91.933573 91.814012 0.129379
16 91.933573 91.815669 0.134061
17 91.933573 91.806321 0.13239
18 91.933573 91.791259 0.144027
19 91.933573 91.797302 0.144417
