

gen best mean std
0 87.525869 6.507805 27.886508
1 87.139358 16.904799 34.488037
2 90.331054 35.440211 39.140714
3 90.331054 57.798463 35.9727
4 90.439361 74.827699 24.618617
5 90.331054 86.492598 3.029494
6 89.223229 86.574161 2.150961
7 90.673561 86.849344 0.696202
8 90.762264 86.906608 0.664433
9 90.806602 86.459758 3.95614
10 90.806602 86.517671 3.927583
11 90.806602 86.562752 3.04165
12 89.273548 86.877748 0.582525
13 89.223229 86.902258 0.642842
14 89.223229 86.920593 0.639194
15 90.806602 87.040493 0.90496
16 89.966611 87.0322 0.924574
17 90.806602 87.19347 0.990652
18 89.966611 87.234643 1.017396
19 89.966611 87.451201 1.17727
