

gen best mean std
0 91.858736 12.693442 32.606489
1 92.961921 30.047244 38.802487
2 93.140414 47.315994 35.519818
3 92.932142 71.934031 22.158404
4 92.932142 81.766183 13.777768
5 93.140414 83.365768 12.539315
6 92.961921 87.014424 10.092103
7 91.968788 87.536824 9.707012
8 92.932142 90.746654 4.294975
9 92.961921 91.200824 3.466891
10 93.140414 91.85242 0.247809
11 93.140414 91.858395 0.237195
12 92.961921 91.41612 4.350818
13 93.140414 91.835288 0.237822
14 93.140414 91.676544 1.668453
15 93.140414 91.866615 0.274363
16 93.012614 91.863647 0.251856
17 92.961921 91.818437 0.23477
18 93.012614 91.842733 0.245072
19 92.643172 91.819663 0.20088
