

gen best mean std
0 87.139358 3.68498 24.180482
1 89.883229 34.344239 36.774951
2 90.866611 69.002213 28.023079
3 90.866611 84.733477 11.528049
4 90.866611 84.404836 11.858574
5 89.943229 86.528415 2.489921
6 90.073561 86.271169 4.254189
7 90.073561 86.22333 4.012861
8 88.879688 85.809537 7.99021
9 89.246611 86.347417 3.876805
10 90.019361 87.025919 0.735386
11 90.679688 86.364249 7.505844
12 90.073561 87.108617 0.806107
13 90.90619 87.106006 0.974328
14 90.073561 87.228986 0.920389
15 90.90619 87.291051 1.025319
16 90.866611 87.308356 1.144772
17 90.003229 87.163874 0.972681
18 91.80188 86.904513 4.967848
19 91.80188 87.345861 1.172936
