

gen best mean std
0 89.599361 5.342762 24.106913
1 88.880419 32.731846 36.324214
2 88.880419 58.883171 34.134737
3 88.880419 85.005323 6.447934
4 91.242547 86.56397 2.210896
5 89.599361 85.941531 5.293417
6 88.939688 86.421681 2.443669
7 89.599361 86.609656 1.370817
8 90.986602 86.250605 6.616899
9 91.482264 86.396041 6.624264
10 90.986602 84.851632 11.406346
11 90.986602 86.871782 0.780764
12 90.866611 86.823423 2.27591
13 90.866611 86.363886 5.72591
14 90.626285 86.068418 7.457806
15 90.713548 86.994179 0.884579
16 90.986602 87.143302 0.985649
17 91.399361 86.936309 1.983963
18 90.713548 87.082541 0.972784
19 90.986602 86.415483 5.714526
