

gen best mean std
0 87.514 3.16668 21.010198
1 90.326611 38.820743 36.868004
2 90.559688 67.652947 29.850256
3 89.659361 85.74676 8.361559
4 90.559688 86.107784 6.59259
5 90.146602 86.406052 3.059778
6 90.559688 86.163 6.58227
7 91.273561 86.514268 4.830421
8 90.199361 84.84792 11.454496
9 90.199361 86.264577 5.692746
10 88.886285 86.829548 0.723948
11 91.586285 86.327314 6.611055
12 90.986602 86.205157 6.712735
13 91.182264 86.233997 5.659179
14 90.986602 87.034673 0.970725
15 91.586285 86.484132 4.863668
16 91.797882 85.830069 8.683726
17 91.797882 87.0201 0.917465
18 90.862348 85.911661 8.885354
19 90.986602 87.080498 1.060688
