

gen best mean std
0 87.505189 7.90579 26.233807
1 89.546611 20.27151 34.077778
2 89.179688 31.734754 36.08951
3 89.546611 42.019012 36.238536
4 91.153561 59.612434 32.681837
5 90.892977 73.767252 23.463717
6 90.816168 84.558727 10.758409
7 89.0499 86.268384 4.768327
8 89.0499 86.801485 0.460639
9 92.173561 86.907728 0.821982
10 89.786602 86.875365 0.540409
11 90.892977 86.713871 1.366658
12 90.986602 86.869458 0.688262
13 90.986602 86.235908 5.714588
14 88.819688 86.822221 0.459473
15 89.426611 86.888996 0.616259
16 89.786602 86.956866 0.688776
17 90.986602 86.952161 0.732768
18 91.153561 86.568093 3.052509
19 91.153561 86.674082 3.095035
