

gen best mean std
0 92.694055 6.403729 25.464326
1 91.843172 20.224553 34.2418
2 91.933573 32.490834 33.421183
3 91.933573 55.586699 26.550548
4 92.347727 70.050116 19.844913
5 91.858736 77.517235 13.692862
6 92.500134 78.226647 12.716198
7 92.347727 77.903178 13.414828
8 92.347727 80.301249 13.310508
9 92.500134 82.315585 11.761116
10 92.694055 80.564633 12.780939
11 92.500134 82.666965 12.240401
12 92.694055 85.65525 10.04955
13 92.940414 85.429083 11.442696
14 92.940414 89.228754 7.21807
15 92.766278 91.379556 4.226083
16 92.766278 91.699434 0.883341
17 91.933573 91.695252 0.864117
18 91.933573 91.739572 0.608528
19 92.940414 91.823588 0.173787
