

gen best mean std
0 91.572379 6.667641 26.942066
1 92.356575 52.384571 36.157847
2 91.968788 80.923897 12.012259
3 92.796054 81.561014 14.350686
4 92.512404 84.608227 10.574323
5 92.569562 85.476987 10.005401
6 92.766278 85.093294 12.026927
7 92.682547 87.888667 8.814318
8 92.77505 91.130601 3.066379
9 93.327729 91.011021 4.439587
10 92.658736 91.501513 2.335098
11 93.401503 91.272609 4.654769
12 93.327 91.858324 0.340078
13 93.542505 91.892807 0.308159
14 93.542505 91.855582 0.295822
15 92.77505 91.658096 1.758745
16 93.327729 91.663148 1.766728
17 93.332142 91.640826 2.57377
18 93.332142 91.733722 1.685107
19 93.332142 91.293176 3.454425
