

gen best mean std
0 92.137405 12.620581 30.898118
1 92.533573 28.402387 38.047603
2 92.576119 48.895444 37.019086
3 92.87699 61.615129 25.887534
4 92.721885 77.308384 18.167176
5 92.721885 81.764544 13.422375
6 92.576119 83.335372 12.462553
7 92.721885 85.041088 11.000311
8 92.87699 90.075485 5.690189
9 92.576119 91.753659 0.538276
10 92.533573 91.794124 0.183147
11 92.87699 91.816153 0.186402
12 92.533573 91.599274 1.792141
13 92.87699 91.807238 0.616278
14 92.87699 91.852544 0.251103
15 92.87699 91.708229 1.68244
16 92.87699 91.688134 1.667435
17 92.87699 91.848611 0.24646
18 92.87699 91.862225 0.244004
19 92.87699 91.847468 0.276902
