

gen best mean std
0 39.956575 -1.437699 9.166334
1 94.023266 3.805592 12.992377
2 57.732142 12.645605 13.788405
3 66.296218 21.393496 16.529622
4 60.692245 21.751279 12.600954
5 66.16227 24.593218 16.167366
6 94.023266 25.611603 17.412146
7 66.296218 28.010471 15.924972
8 66.16227 27.973158 16.146329
9 94.023266 25.124354 14.410552
10 94.023266 29.941534 18.523892
11 75.091917 27.583411 16.253817
12 61.492245 27.867831 15.459951
13 66.747727 26.152055 16.207814
14 94.023266 29.236456 17.425368
15 94.023266 31.348203 18.025954
16 75.091917 27.80839 15.750215
17 66.747727 29.08161 17.002137
18 75.054579 28.318956 16.844576
19 75.054579 27.916837 16.580558
