

gen best mean std
0 87.477882 5.344219 25.133628
1 89.498539 37.762445 34.764305
2 90.43004 64.047716 30.49707
3 90.43004 83.783395 8.697089
4 90.43004 86.138121 5.708505
5 90.259688 86.538151 3.050046
6 91.203246 86.769823 0.86519
7 91.643558 86.550307 2.615286
8 91.362264 85.935878 8.625063
9 92.7699 86.297522 8.408005
10 91.643558 86.325056 4.45768
11 92.7699 86.100287 6.817975
12 91.643558 86.75255 4.109687
13 91.362264 86.79858 3.120765
14 91.643558 86.062668 8.204993
15 91.402348 86.56299 4.873638
16 91.972379 85.816793 8.759695
17 91.639688 85.197549 11.335805
18 91.643558 85.992453 9.415314
19 91.972379 87.18095 1.095707
