

gen best mean std
0 88.416954 7.098478 27.704213
1 88.416954 19.908837 35.387674
2 88.411574 33.321365 39.652923
3 88.416954 49.421594 38.162079
4 88.836218 73.150007 25.448185
5 89.815982 86.461546 3.108056
6 89.938742 86.767411 0.747861
7 89.938742 86.288295 4.786846
8 89.786611 86.028728 7.463292
9 89.558093 86.796249 0.523247
10 89.786611 86.293805 4.76387
11 88.836218 86.758519 0.455416
12 88.87004 86.767271 0.450014
13 89.786611 86.790812 0.564414
14 89.294823 86.926792 0.604031
15 90.866611 86.83288 0.700979
16 89.786611 86.797506 1.413787
17 89.786611 86.863163 0.800648
18 89.294823 86.978668 0.681852
19 89.786611 86.901179 0.648182
