

gen best mean std
0 87.139358 4.852511 23.715627
1 91.662264 31.184852 34.31663
2 91.662264 55.991216 33.458279
3 91.501106 76.987452 20.334557
4 90.926285 86.637797 1.412579
5 91.013548 86.123571 7.485603
6 89.092379 84.674806 10.127433
7 92.066285 85.45982 11.176752
8 91.493025 86.540087 4.880439
9 92.066285 86.520683 4.887443
10 91.501106 85.47678 10.590303
11 91.501106 86.260443 6.979638
12 91.501106 86.566757 4.892041
13 92.066285 87.014283 1.014318
14 90.986602 86.485892 5.028306
15 92.066285 85.535344 10.566946
16 92.066285 87.120148 1.078503
17 90.843229 87.060784 1.093602
18 91.493025 87.165798 0.972123
19 92.066285 87.131544 1.145632
