

gen best mean std
0 87.148118 3.389481 23.024733
1 87.14227 13.948698 32.35422
2 89.583229 30.10257 38.565541
3 87.537882 48.030541 38.468658
4 91.418093 71.638245 28.060142
5 88.093561 85.969826 5.450196
6 87.590703 86.431597 2.987498
7 87.590703 86.805869 0.404772
8 88.093561 86.70482 0.409086
9 87.590703 86.719774 0.496727
10 88.093561 86.756475 0.430902
11 87.537882 86.500379 2.987941
12 87.590703 86.784224 0.427135
13 87.590703 86.542379 2.995908
14 87.590703 86.743712 0.402145
15 87.657882 86.888697 0.393661
16 87.657882 86.855786 0.40976
17 88.093561 86.322631 4.20668
18 87.717882 86.835903 0.407268
19 87.657882 86.545123 2.996607
