

gen best mean std
0 57.732142 -1.682788 9.062348
1 57.732142 1.087756 10.350809
2 57.225448 4.548292 11.433071
3 57.296218 9.051981 11.962689
4 39.790514 11.186326 9.087542
5 40.030187 13.806783 7.722415
6 57.732142 14.90143 10.177656
7 57.732142 16.607609 12.558905
8 57.231679 17.555938 11.895639
9 57.231679 17.106591 11.643542
10 57.732142 19.346403 12.455218
11 66.16227 20.974374 15.788727
12 57.266659 23.145019 13.556708
13 57.732142 22.293107 13.407702
14 57.732142 20.846673 11.801061
15 57.732142 21.862579 14.563209
16 57.732142 23.378963 15.178733
17 57.732142 21.302561 13.130425
18 57.732142 23.435698 13.988919
19 57.732142 23.889712 15.064618
