

gen best mean std
0 57.732142 -2.036943 8.812751
1 57.16227 -0.6092 10.581936
2 66.225448 11.54299 15.876585
3 66.326677 23.038911 17.556804
4 66.225448 25.148882 15.763643
5 66.601837 29.765514 18.784392
6 57.732142 23.227536 13.55527
7 57.752976 27.014632 16.817582
8 94.023266 26.212553 15.54509
9 66.194865 25.226831 16.560259
10 66.601837 26.388941 15.988449
11 66.231679 26.937151 16.249757
12 66.225448 25.62082 14.854136
13 94.023266 25.629111 16.71508
14 66.194865 28.726982 17.888192
15 66.231679 29.827505 16.447235
16 66.601837 30.41962 16.672372
17 66.601837 27.144236 15.197754
18 66.601837 29.646951 17.001734
19 66.601837 28.630801 18.250163
