

gen best mean std
0 90.603229 2.971208 22.921324
1 90.783246 24.928883 35.481213
2 91.781903 50.742768 35.168874
3 90.472628 70.185113 25.048758
4 90.146611 85.866516 6.395057
5 90.603229 86.853561 0.816285
6 90.783246 85.654364 8.667047
7 90.817507 86.841391 2.271719
8 90.472628 86.922886 0.962202
9 90.413548 86.379892 6.60451
10 90.603229 86.759047 3.987633
11 90.026611 86.434734 5.752519
12 90.719599 87.038762 1.532065
13 91.062264 87.229722 1.161562
14 91.062264 86.646579 5.811051
15 91.062264 87.164327 1.034456
16 91.062264 86.768813 4.106396
17 90.783246 87.270729 1.108894
18 90.719599 86.961152 3.149437
19 90.719599 87.293248 1.06656
