

gen best mean std
0 57.2699 -1.325848 10.460568
1 57.16227 -0.054672 10.071353
2 57.2699 2.785536 12.358092
3 57.16227 6.642729 13.012094
4 57.16227 10.40647 13.214325
5 66.16227 15.314328 12.275527
6 66.16227 16.400348 13.350306
7 57.732142 17.61051 12.815991
8 57.601837 20.960956 16.44586
9 66.16227 24.975993 15.478751
10 57.732142 22.68523 14.933315
11 57.732142 23.883582 13.956047
12 66.168118 23.409064 15.416452
13 66.094638 23.742474 15.371506
14 66.16227 26.465373 16.718851
15 66.16227 25.841595 16.011998
16 57.752976 25.019979 15.350277
17 66.16227 24.462383 15.407217
18 57.752976 25.281531 15.429335
19 57.752976 25.990682 16.617311
