

gen best mean std
0 91.843172 9.555602 29.175485
1 92.724826 26.02453 37.44066
2 92.724826 50.114537 34.95008
3 92.643172 69.480756 24.678388
4 92.724826 81.744604 14.218601
5 92.575982 85.924747 12.126181
6 92.575982 89.83487 7.277422
7 92.568788 91.479591 2.334298
8 92.643172 91.637958 1.661065
9 92.658736 91.50049 2.333317
10 92.658736 91.824313 0.177573
11 92.575982 91.597453 1.800636
12 92.579599 91.794012 0.188156
13 92.643172 91.799507 0.203221
14 92.643172 91.489312 2.33146
15 92.658736 91.760574 0.715764
16 92.643172 91.829178 0.171779
17 92.133573 91.785725 0.148544
18 92.575982 91.784181 0.444743
19 92.575982 91.809148 0.177336
