

gen best mean std
0 57.732142 -1.513113 11.215651
1 57.16227 0.247869 10.449116
2 66.282972 12.436585 18.593042
3 66.282972 21.502789 17.298125
4 66.601837 23.731702 17.07921
5 75.16227 25.841969 17.182246
6 75.16227 26.352082 17.446522
7 75.16227 29.394281 17.727041
8 75.16227 29.48949 19.138928
9 75.16227 28.185606 17.077791
10 75.16227 29.677546 18.765402
11 66.213103 25.92243 15.714894
12 75.16227 30.097857 18.008466
13 66.16227 26.089271 14.804301
14 66.601837 29.926789 17.674994
15 75.16227 28.115945 16.311656
16 94.023266 29.145829 18.03926
17 66.225448 27.04794 15.18803
18 66.601837 28.358807 16.985067
19 66.296218 28.715959 17.571948
